fips,cohort_year,sex,race,age_group,off_type,repeat_contact,fe_rate,N_fe_rate,mi_rate,N_mi_rate,inc_rate,N_inc_rate,par_rate,N_par_rate,pro_rate,N_pro_rate,avg_coal_prod,med_coal_prod,tot_coal_prod,first_year,last_year,coal_prod_max,county_pop,peak_coal_prod_year,event_time,log_coal_prod,min_event_time,max_event_time
40111,2004,0,0,0,3,0,193,39600,152,39600,,,,,,,4960,4960,4960,2000,2020,4960,39600,2004,-1,8.50916101971897,-5,15
40111,2005,0,0,0,0,0,875,39300,1560,39300,612,39300,46,39300,,,4875,4875,4875,2000,2020,4960,39300,2004,0,8.49187538343195,-5,15
40111,2005,0,0,0,1,0,138,39300,178,39300,,,,,,,4875,4875,4875,2000,2020,4960,39300,2004,0,8.49187538343195,-5,15
40111,2005,0,0,0,2,0,341,39300,460,39300,,,,,,,4875,4875,4875,2000,2020,4960,39300,2004,0,8.49187538343195,-5,15
40111,2005,0,0,0,3,0,199,39300,154,39300,,,,,,,4875,4875,4875,2000,2020,4960,39300,2004,0,8.49187538343195,-5,15
40111,2006,0,0,0,0,0,879,39200,1567,39200,632,39200,21,39200,,,4194,4194,4194,2000,2020,4960,39200,2004,1,8.34141021146187,-5,15
40111,2006,0,0,0,1,0,158,39200,160,39200,,,,,,,4194,4194,4194,2000,2020,4960,39200,2004,1,8.34141021146187,-5,15
40111,2006,0,0,0,2,0,310,39200,486,39200,,,,,,,4194,4194,4194,2000,2020,4960,39200,2004,1,8.34141021146187,-5,15
40111,2006,0,0,0,3,0,207,39200,101,39200,,,,,,,4194,4194,4194,2000,2020,4960,39200,2004,1,8.34141021146187,-5,15
40111,2007,0,0,0,0,0,809,39300,1590,39300,622,39300,36,39300,,,693,693,693,2000,2020,4960,39300,2004,2,6.5410299991899,-5,15
40111,2007,0,0,0,1,0,162,39300,173,39300,,,,,,,693,693,693,2000,2020,4960,39300,2004,2,6.5410299991899,-5,15
40111,2007,0,0,0,2,0,243,39300,513,39300,,,,,,,693,693,693,2000,2020,4960,39300,2004,2,6.5410299991899,-5,15
40111,2007,0,0,0,3,0,174,39300,126,39300,,,,,,,693,693,693,2000,2020,4960,39300,2004,2,6.5410299991899,-5,15
40111,2008,0,0,0,0,0,855,39100,1700,39100,630,39100,32,39100,,,1172,1172,1172,2000,2020,4960,39100,2004,3,7.06646697013696,-5,15
40111,2008,0,0,0,1,0,138,39100,140,39100,,,,,,,1172,1172,1172,2000,2020,4960,39100,2004,3,7.06646697013696,-5,15
40111,2008,0,0,0,2,0,303,39100,542,39100,,,,,,,1172,1172,1172,2000,2020,4960,39100,2004,3,7.06646697013696,-5,15
40111,2008,0,0,0,3,0,157,39100,125,39100,,,,,,,1172,1172,1172,2000,2020,4960,39100,2004,3,7.06646697013696,-5,15
42021,2011,0,0,0,0,0,1199,143000,4937,143000,230,143000,,,,,98248.5,10497.5,1375479,2000,2021,1511427,143000,2013,-3,14.1343125920546,-14,7
42021,2011,0,0,0,1,0,240,143000,947,143000,,,,,,,98248.5,10497.5,1375479,2000,2021,1511427,143000,2013,-3,14.1343125920546,-14,7
